Recipient,Category,Grant,FY14
Putnam,Education,Nonpublic School Transportation,1551
Putnam,Education,Priority School Districts,1146062
Putnam,Education,Extended School Hours,24074
Putnam,Education,School Accountability- Summer School,26759
Putnam,Education,Adult Education,65135
Putnam,Public Health/Social Services,Healthy Foods Initiative,16527
Putnam,Property Tax,Colleges &amp; Hospitals PILOT,223818.21
Putnam,Property Tax,Elderly Circuit Breaker,72724.93
Putnam,Property Tax,State Property PILOT,30771.44
Putnam,Property Tax,Veterans' Exemption,3234.58
Putnam,Property Tax,Disability Exemption,1836.51
Putnam,Property Tax,Pequot Grants,114011.49
Putnam,Property Tax,Grants For Municipal Projects,171085.55
Putnam,Property Tax,Municipal Aid Adjustment,9.6
Putnam,Capital Projects/Transportation,LoCIP,78759
Putnam,Capital Projects/Transportation,Town Aid Road,239316.68
Putnam,Capital Projects/Transportation,Distressed Municipalities,3380.11
Putnam,Capital Projects/Transportation,Urban Action Grants,0
Plainville,Education,Family Resource Center Program,104500
Plainville,Education,Child Nutrition State Match,10313
Plainville,Education,School Construction,1755568
Plainville,Education,OPEN Choice,909761
Plainville,Education,School Breakfast,15854
Plainville,Education,After School Program,50000
Plainville,Education,Bilingual Education,2600
Plainville,Education,Excess Cost- Student Based,706711
Plainville,Education,Education Cost Sharing,10369592
Plainville,Education,Public School Transportation,128873
Plainville,Education,Youth Service Bureaus,30483
Plainville,Education,Adult Education,116962
Plainville,Public Health/Social Services,Healthy Foods Initiative,21108
Plainville,Property Tax,Elderly Circuit Breaker,146340.77
Plainville,Property Tax,State Property PILOT,16166.67
Plainville,Property Tax,Veterans' Exemption,22861.51
Plainville,Property Tax,Disability Exemption,4242.84
Plainville,Property Tax,Pequot Grants,84669.12
Plainville,Property Tax,Elderly Freeze,2000
Plainville,Property Tax,Grants For Municipal Projects,509690
Plainville,Capital Projects/Transportation,LoCIP,126839
Plainville,Capital Projects/Transportation,Town Aid Road,307216.56
Plainville,Capital Projects/Transportation,Distressed Municipalities,11660.27
Plainville,Capital Projects/Transportation,Urban Action Grants,105000
Plainville,Capital Projects/Transportation,Bus Operations,18381
Plainfield,Education,Family Resource Center Program,104500
Plainfield,Education,Child Nutrition State Match,10617
Plainfield,Education,School Breakfast,16138
Plainfield,Education,Magnet Schools,52000
Plainfield,Education,Excess Cost- Student Based,432780
Plainfield,Education,Education Cost Sharing,15577763
Plainfield,Education,Public School Transportation,247962
Plainfield,Education,Youth Service Bureaus,57880
Plainfield,Education,Adult Education,111226
Plainfield,Public Health/Social Services,Healthy Foods Initiative,21730
Plainfield,Property Tax,Colleges &amp; Hospitals PILOT,33077.53
Plainfield,Property Tax,Elderly Circuit Breaker,109361.66
Plainfield,Property Tax,State Property PILOT,41376.49
Plainfield,Property Tax,Veterans' Exemption,7057.47
Plainfield,Property Tax,Disability Exemption,3123.38
Plainfield,Property Tax,Pequot Grants,160114.14
Plainfield,Property Tax,Grants For Municipal Projects,146283.1
Plainfield,Property Tax,Municipal Aid Adjustment,65149.22
Plainfield,Capital Projects/Transportation,LoCIP,127716
Plainfield,Capital Projects/Transportation,Town Aid Road,291295.31
Plainfield,Capital Projects/Transportation,Distressed Municipalities,5688.6
Plainfield,Capital Projects/Transportation,Urban Action Grants,0
Norwich,Education,Family Resource Center Program,209000
Norwich,Education,Child Nutrition State Match,25550
Norwich,Education,School Construction,3934448.76
Norwich,Education,School Breakfast,43905
Norwich,Education,After School Program,188251
Norwich,Education,Magnet Schools,81900
Norwich,Education,Bilingual Education,15202
Norwich,Education,Excess Cost- Student Based,2274280
Norwich,Education,Education Cost Sharing,35288509
Norwich,Education,Public School Transportation,562991
Norwich,Education,Nonpublic School Transportation,92775
Norwich,Education,Priority School Districts,1146062
Norwich,Education,Extended School Hours,103082
Norwich,Education,School Accountability- Summer School,118584
Norwich,Education,Youth Service Bureaus,96288
Norwich,Education,Adult Education,334352
Norwich,Education,Commissioner's Network,1055340
Norwich,Public Health/Social Services,Healthy Foods Initiative,51123
Norwich,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,121462
Norwich,Property Tax,Colleges &amp; Hospitals PILOT,748854.81
Norwich,Property Tax,Elderly Circuit Breaker,216737.39
Norwich,Property Tax,State Property PILOT,783722.42
Norwich,Property Tax,Veterans' Exemption,16584.47
Norwich,Property Tax,Disability Exemption,4087.59
Norwich,Property Tax,Pequot Grants,1982596.02
Norwich,Property Tax,Elderly Freeze,4000
Norwich,Property Tax,DECD PILOT Grant,157438
Norwich,Property Tax,Grants For Municipal Projects,175997
Norwich,Capital Projects/Transportation,LoCIP,329508
Norwich,Capital Projects/Transportation,Town Aid Road,501225.89
Norwich,Capital Projects/Transportation,Urban Action Grants,0
Norwalk,Education,Family Resource Center Program,209000
Norwalk,Education,Child Nutrition State Match,50013
Norwalk,Education,School Construction,105819
Norwalk,Education,School Breakfast,63057
Norwalk,Education,Magnet Schools,1690875
Norwalk,Education,Bilingual Education,97612
Norwalk,Education,Excess Cost- Student Based,2175843
Norwalk,Education,Education Cost Sharing,10572023
Norwalk,Education,Public School Transportation,62836
Norwalk,Education,Nonpublic School Transportation,9916
Norwalk,Education,Priority School Districts,4278664
Norwalk,Education,Extended School Hours,215078
Norwalk,Education,School Accountability- Summer School,246104
Norwalk,Education,Youth Service Bureaus,74342
Norwalk,Education,Adult Education,70873
Norwalk,Education,Commissioner's Network,626775
Norwalk,Education,Child Care Services,332187.7
Norwalk,Public Health/Social Services,Healthy Foods Initiative,101797
Norwalk,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,35971
Norwalk,Public Health/Social Services,Local and District Departments of Health,102022.8
Norwalk,Property Tax,Colleges &amp; Hospitals PILOT,1465920.25
Norwalk,Property Tax,Elderly Circuit Breaker,476287.18
Norwalk,Property Tax,State Property PILOT,333954.64
Norwalk,Property Tax,Veterans' Exemption,3139.47
Norwalk,Property Tax,Disability Exemption,2268.62
Norwalk,Property Tax,Pequot Grants,851029.31
Norwalk,Property Tax,Elderly Freeze,16000
Norwalk,Property Tax,DECD Tax Abatement,11504
Norwalk,Property Tax,Grants For Municipal Projects,378941
Norwalk,Capital Projects/Transportation,LoCIP,632242
Norwalk,Capital Projects/Transportation,Town Aid Road,883599.45
Norwalk,Capital Projects/Transportation,Distressed Municipalities,107885.52
Norwalk,Capital Projects/Transportation,Urban Action Grants,0
North Branford,Education,Family Resource Center Program,104500
North Branford,Education,Child Nutrition State Match,7186
North Branford,Education,School Construction,3623970.6
North Branford,Education,OPEN Choice,79236
North Branford,Education,Magnet Schools,1737
North Branford,Education,Excess Cost- Student Based,240495
North Branford,Education,Education Cost Sharing,8249424
North Branford,Education,Public School Transportation,144970
North Branford,Education,Adult Education,42115
North Branford,Property Tax,Colleges &amp; Hospitals PILOT,2248.96
North Branford,Property Tax,Elderly Circuit Breaker,112940.9
North Branford,Property Tax,State Property PILOT,5039.5
North Branford,Property Tax,Veterans' Exemption,13159.68
North Branford,Property Tax,Disability Exemption,2377.76
North Branford,Property Tax,Pequot Grants,43533.49
North Branford,Property Tax,Elderly Freeze,2000
North Branford,Property Tax,Grants For Municipal Projects,283160
North Branford,Capital Projects/Transportation,LoCIP,90105
North Branford,Capital Projects/Transportation,Town Aid Road,281783.31
New Britain,Education,Family Resource Center Program,313500
New Britain,Education,Child Nutrition State Match,64168
New Britain,Education,School Construction,3802170.18
New Britain,Education,School Breakfast,78917
New Britain,Education,After School Program,188252
New Britain,Education,Magnet Schools,4000
New Britain,Education,Bilingual Education,137117
New Britain,Education,Excess Cost- Student Based,3840195
New Britain,Education,Education Cost Sharing,81008913
New Britain,Education,Public School Transportation,1319739
New Britain,Education,Nonpublic School Transportation,199192
New Britain,Education,Priority School Districts,2258664
New Britain,Education,Extended School Hours,210951
New Britain,Education,School Accountability- Summer School,245072
New Britain,Education,Youth Service Bureaus,81318
New Britain,Education,Adult Education,636935
New Britain,Education,Commissioner's Network,1074132
New Britain,Public Health/Social Services,Healthy Foods Initiative,130752
New Britain,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,73600
New Britain,Public Health/Social Services,School-Based Health Centers,279545
New Britain,Public Health/Social Services,Local and District Departments of Health,86447.98
New Britain,Property Tax,Colleges &amp; Hospitals PILOT,2095010.96
New Britain,Property Tax,Elderly Circuit Breaker,400534.79
New Britain,Property Tax,State Property PILOT,2904606.82
New Britain,Property Tax,Veterans' Exemption,28339.76
New Britain,Property Tax,Disability Exemption,9338.4
New Britain,Property Tax,Pequot Grants,2285314.86
New Britain,Property Tax,Elderly Freeze,4000
New Britain,Property Tax,DECD Tax Abatement,31725
New Britain,Property Tax,Grants For Municipal Projects,1301538
New Britain,Capital Projects/Transportation,LoCIP,974088
New Britain,Capital Projects/Transportation,Town Aid Road,772658.1
New Britain,Capital Projects/Transportation,Distressed Municipalities,168399.02
New Britain,Capital Projects/Transportation,Urban Action Grants,0
New Britain,Capital Projects/Transportation,Bus Operations,48866
Milford,Education,Family Resource Center Program,104500
Milford,Education,Child Nutrition State Match,28596
Milford,Education,School Construction,651500.84
Milford,Education,OPEN Choice,122069
Milford,Education,School Breakfast,29883
Milford,Education,Magnet Schools,19307
Milford,Education,Excess Cost- Student Based,1125144
Milford,Education,Education Cost Sharing,11260198
Milford,Education,Public School Transportation,202589
Milford,Education,Nonpublic School Transportation,50308
Milford,Education,Youth Service Bureaus,45187
Milford,Education,Adult Education,54369
Milford,Education,Child Care Services,287278.64
Milford,Public Health/Social Services,Healthy Foods Initiative,57864
Milford,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,99310
Milford,Public Health/Social Services,Local and District Departments of Health,60403.02
Milford,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),500000
Milford,Capital Projects/Transportation,LoCIP,370960
Milford,Capital Projects/Transportation,Town Aid Road,601361.09
Milford,Capital Projects/Transportation,Urban Action Grants,300000
Milford,Property Tax,Colleges &amp; Hospitals PILOT,423118.21
Milford,Property Tax,Elderly Circuit Breaker,488214.19
Milford,Property Tax,State Property PILOT,517358.95
Milford,Property Tax,Veterans' Exemption,148037.87
Milford,Property Tax,Disability Exemption,6020.14
Milford,Property Tax,Pequot Grants,396695.75
Milford,Property Tax,Grants For Municipal Projects,1264846
Meriden,Education,Family Resource Center Program,313500
Meriden,Education,Child Nutrition State Match,53871
Meriden,Education,School Construction,36029804
Meriden,Education,School Breakfast,49022
Meriden,Education,Magnet Schools,137400
Meriden,Education,Bilingual Education,83410
Meriden,Education,Excess Cost- Student Based,2484409
Meriden,Education,Education Cost Sharing,57729435
Meriden,Education,Public School Transportation,474002
Meriden,Education,Nonpublic School Transportation,158495
Meriden,Education,Priority School Districts,1360238
Meriden,Education,Extended School Hours,175131
Meriden,Education,School Accountability- Summer School,198590
Meriden,Education,Youth Service Bureaus,57669
Meriden,Education,Adult Education,1034225
Meriden,Education,Child Care Services,224298.75
Meriden,Public Health/Social Services,Healthy Foods Initiative,110261
Meriden,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,55573
